Milk production reduced,Milk abnormal,Udder swollen/hard,Udder warm,Kicking/avoiding milking,Limping/walking unevenly,Lying down more than usual,Standing on one leg often,Visible injuries/swelling (legs/hooves),Reluctance to move,Aggression/anxiety,Nervous/jumpy,Stumbling/trembling/balance issues,Trouble rising/standing,Excessive licking/teeth grinding,Eating normally,Water intake normal,Isolation from herd,Body temperature (°C),Health Condition
1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,39.27388269696865,2
0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,39.22771646078095,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,40.35320744778115,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,38.671479161953634,1
0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,39.629508676032046,1
1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,39.73909342191404,2
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,40.0278781217569,1
0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,37.41014616403669,2
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,36.90082186754383,2
1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,40.31821185657137,2
0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,38.52867405383007,1
0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,38.2910512494701,1
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,39.10320412897916,1
1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,38.00690624835769,2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,39.70348050812565,1
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,40.253937708544804,1
0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,38.488079168383514,2
0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,39.39803980103155,1
0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,38.75801581705946,1
0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,40.21325557683738,1
0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,39.07895073605937,1
0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,40.52575464536252,2
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,38.41850314697949,1
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,40.123270817062966,0
1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,39.66003099465723,0
1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,39.89460496855387,1
0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,40.008420815462415,1
0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,39.45538318476486,1
0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,40.26378468980601,1
1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,40.606068941652474,2
1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,37.9630409638244,2
0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,38.42829011007263,1
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,40.114346369587544,1
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,38.97737135377198,1
0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,38.40232026631375,1
0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,39.15700598762023,2
1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,39.923341666183546,2
1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,38.412244552870725,2
0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,38.4805139430307,1
0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,39.76074491354196,1
0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,39.94427209441878,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,40.42860644953931,1
0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,39.029877620655185,2
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,37.89733524013149,0
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,38.93820775959197,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,39.894233366521114,0
1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,38.7336574242304,2
0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,37.324506234466256,2
0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,38.013656804582816,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,40.273186812936196,1
0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,40.21610845255888,1
0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,38.965995780515726,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,38.57643376418391,1
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,38.20990477847882,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,39.96315078263549,1
0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,39.82007946708287,2
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,37.409374251350926,1
0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,39.87559936633352,1
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,37.604644114400585,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,39.30116694423064,0
0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,39.16103969218811,1
0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,38.49366659112138,1
0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,38.784096442971595,2
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,39.900102180774795,1
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,38.56266354085614,1
1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,37.81496257975769,2
1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,41.512291130122605,1
0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,39.580711983318324,2
0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,37.686244199527785,1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,38.40086868965642,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,38.207605882807606,0
0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,39.193213079362216,1
0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,39.44004375745961,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,39.24258845385625,0
1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,40.56341420258761,2
1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,41.07764063829177,1
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,37.41780586529912,1
1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,38.784900770610456,1
0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,39.254502712758644,1
0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,39.6453124951435,2
0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,39.640038096369324,2
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,38.3048239771788,1
0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,40.009842681418014,1
0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,38.00716264337737,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,38.39590951901337,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,39.514350035909494,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,40.37720176240266,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,39.67114480547297,0
1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,38.146552214168956,2
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,39.76895539483425,1
0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,38.14598454997031,1
1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,39.67440291691524,2
0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,37.24777650837013,2
0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,38.96746994684558,2
0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,40.038750366704335,2
1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,38.606502835043074,2
0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,38.16312780499894,1
1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,39.19284571428811,2
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,40.27252344844828,1
0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,39.14567347318225,1
0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,39.244665242774964,1
0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,39.371664728192805,2
0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,40.27639721708938,2
1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,39.07465850297509,2
0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,39.4589458484901,1
1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,39.268946080551856,2
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,39.71314226721864,0
0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,38.66455583720306,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,39.56015494653337,1
0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,37.56939547750642,2
1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,39.1364961983082,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,39.13033791512024,1
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,38.47611843560747,1
1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,38.4047954712767,1
1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,38.55022487898545,1
0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,39.13868009600146,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38.12819349658023,0
1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,39.898936649434695,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,39.524897827250875,1
1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,39.58408579558195,1
0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,39.52954933467662,2
1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,38.74302998032312,2
0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,39.007977612764996,1
0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,39.59104523541111,2
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,39.214797637479464,1
1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,39.41288148080084,2
0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,38.536908127540926,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,40.31077378121687,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,39.44094727870566,1
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,38.36854940629776,1
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,39.75194581756374,0
1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,37.96208914518875,1
1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,40.599701700492744,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,38.830511210925074,1
1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,39.518423361180815,2
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,39.43444377605976,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,38.42020746080796,0
0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,38.868153245932845,1
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,38.81180840855907,1
0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,39.78159148096477,2
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,38.42339225325796,0
0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,38.59023903202209,1
0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,38.903956316539016,2
1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,39.372316331847486,1
1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,38.79962903787642,1
0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,38.703448627112955,2
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,38.98671841277212,1
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,39.40920764298468,1
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,39.69397557806156,1
0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,39.5188893595021,2
1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,38.96689777660932,2
1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,39.49776209531665,2
0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,39.01743010760462,2
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,38.78889801527736,1
0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,37.3882164601946,1
0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,39.57179333124807,1
0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,39.065628960926695,1
1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,39.32657150465195,1
0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,39.41156826738771,2
0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,39.68416207647802,1
1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,40.219879507480364,1
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,39.06407846242482,1
1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,39.74535413408693,2
0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,37.611017726753374,1
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,38.66549033043136,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,39.16646066365185,1
0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,41.00559332202655,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,39.53330111368141,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,38.45474220652791,0
0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,38.50239175640256,2
0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,40.114124898924416,1
0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,39.6317074187217,1
0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,37.807362873045456,1
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,39.58576501049851,1
0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,38.89541921545435,2
1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,39.64391781702244,2
1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,40.190759136495224,2
0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,38.57592912877682,1
0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,39.380682966739656,1
1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,38.87523489836174,1
1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,39.72494973245118,1
1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,38.55985340805486,1
1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,39.30216272517973,2
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,38.994890622008825,1
0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,38.84333468937398,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,39.31109185791416,0
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,39.21299536187048,0
0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,40.70697833757343,2
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,39.5612352878664,0
0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,39.71885653253996,2
1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,38.52046022890038,1
1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,39.06246766413807,1
1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,40.35509878829996,2
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,38.14438631730934,1
0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,38.669448187116636,1
0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,36.58059866338008,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,39.680420712835534,0
1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,38.80691314250737,2
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,39.639980349850184,1
0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,39.47897401859662,2
0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,38.9823823689241,1
0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,38.5444968640343,2
0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,38.35552247222757,1
0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,41.291189319280114,1
0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,40.06882166372648,1
0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,39.87281337033646,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,38.37001068588218,1
0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,39.19942837049983,1
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,38.64589619667978,1
0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,39.51807946610848,2
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,39.89549591739386,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,39.69446163095005,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40.39328825060471,0
0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,37.834725946803374,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,39.73788176183392,1
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,38.792554695800575,1
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,38.73517290870764,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,39.09698040549465,0
1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,39.38572239238247,2
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,38.28006530925928,1
1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,38.39436036780028,2
1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,39.95706097097363,2
0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,38.52247186826034,2
0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,39.255936105884906,1
1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,39.03110167312469,1
0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,39.782343605091256,1
0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,38.09492060992831,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,38.99047977405522,0
0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,38.14785262457657,2
1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,38.78688094726652,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,38.902287678212105,0
0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,37.60399191498453,2
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,39.0281438974577,1
0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,38.94698233599901,1
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,38.11804143956193,1
0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,39.68160802993763,2
0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,38.64782589632275,1
0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,38.465541069593975,2
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,39.66271313936942,0
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,37.8564516532249,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,38.74570883415299,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.01310128425417,0
1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,38.37074196271142,2
